"","DSW","ILC","coupons","DSW_low","ILC_low","coupons_low"
"p1","6.9","3.9","5.5","6.9","3.9","5.5"
"rr","0.78","0.78","0.78","0.78","0.78","0.78"
"t_ma","0.55","0.55","0.55","0.55","0.55","0.55"
"effective_tkup","0.36","0.69","0.26","0.07","0.45","0.1"
"reduction","10","11","6","2","7","2"
"daly_reduction","780","880","460","150","570","180"
"cost","56.1","59.6","12.7","56.1","59.6","12.7"
"cost_per_death","5704","5391","2181","28928","8266","5671"
"cost_per_daly","72","68","28","365","104","72"
"net_dalys_gdp","753","851","455","127","546","171"
"net_dalys_100","219","280","334","0","0","50"
